       "yyyy",        "cpi",       "gold",       "infl",      "tbill",    "ltyld10",     "ltrate",  "callmoney",        "aaa",        "baa",   "corprate", "corprate.i", "sp500index",   "sp500d12",   "sp500e12",        "vwm",       "vwmx",       "svar",       "bkmk",       "ntis",       "eqis",        "csp",        "cay",        "ik"
         1909,        0.740,       20.680,       -1.570,        3.130,        4.010,        3.490,        2.900,        4.520,             ,             ,        4.290,       10.300,        0.440,        0.760,       19.710,             ,        1.000,             ,             ,             ,             ,             ,             
         1910,        0.750,       20.640,        1.680,        4.080,        4.000,        3.160,        5.030,        4.610,             ,             ,        3.440,        9.050,        0.470,        0.730,       -8.360,             ,        1.890,             ,             ,             ,             ,             ,             
         1911,        0.760,       20.640,        2.190,        3.170,        4.240,        3.890,        3.380,        4.600,             ,             ,        4.720,        9.110,        0.470,        0.590,        5.570,             ,        0.780,             ,             ,             ,             ,             ,             
         1912,        0.770,       20.650,        1.090,        3.830,        4.370,        2.860,        4.030,        4.670,             ,             ,        3.750,        9.380,        0.480,        0.700,        8.010,             ,        0.650,             ,             ,             ,             ,             ,             
         1913,        0.790,       20.640,        2.370,        4.600,        4.240,        1.260,        6.500,        4.880,             ,             ,        2.110,        8.040,        0.480,        0.630,       -9.560,             ,        1.070,             ,             ,             ,             ,             ,             
         1914,        0.800,       20.720,        0.960,        3.870,        4.200,        2.760,        4.580,        4.820,             ,             ,        5.620,        7.350,        0.420,        0.520,       -3.990,             ,        1.160,             ,             ,             ,             ,             ,             
         1915,        0.810,       20.720,        1.950,        2.650,        4.280,        6.530,        3.380,        4.710,             ,             ,        6.220,        9.480,        0.430,        0.880,       35.500,             ,        1.910,             ,             ,             ,             ,             ,             
         1916,        0.910,       20.720,       11.540,        2.630,        4.190,        5.930,        1.930,        4.650,             ,             ,        5.370,        9.800,        0.560,        1.530,        9.960,             ,        1.780,             ,             ,             ,             ,             ,             
         1917,        1.070,       20.720,       18.250,        3.820,        4.530,       -5.810,        4.440,        5.350,             ,             ,       -3.380,        6.800,        0.690,        1.280,      -24.780,             ,        3.560,             ,             ,             ,             ,             ,             
         1918,        1.290,       20.720,       20.280,        4.860,        4.970,        8.270,        5.160,        5.230,             ,             ,        6.660,        7.900,        0.570,        0.990,       25.260,             ,        1.540,             ,             ,             ,             ,             ,             
         1919,        1.480,       20.700,       14.580,        4.450,        4.900,       -1.190,        5.390,        5.730,        7.770,             ,       -0.340,        8.920,        0.530,        0.930,       19.470,             ,        2.450,             ,             ,             ,             ,             ,             
         1920,        1.510,       20.680,        2.120,        5.880,        5.400,       -0.330,        8.850,        6.260,        8.560,             ,        0.040,        6.810,        0.510,        0.800,      -19.130,             ,        3.340,             ,             ,             ,             ,             ,             
         1921,        1.350,       20.580,      -10.790,        3.900,        4.470,       14.810,        7.000,        5.500,        7.610,             ,       14.960,        7.310,        0.460,        0.290,       14.250,             ,        1.900,       59.650,             ,             ,             ,             ,             
         1922,        1.310,       20.660,       -2.550,        3.650,        4.320,        9.830,        5.140,        5.080,        7.020,             ,       10.490,        8.780,        0.510,        0.690,       26.950,             ,        1.470,       47.260,             ,             ,             ,             ,             
         1923,        1.350,       21.320,        2.560,        3.880,        4.350,        4.600,        4.660,        5.090,        7.380,             ,        4.960,        8.550,        0.530,        0.980,        3.270,             ,        1.570,       54.020,             ,             ,             ,             ,             
         1924,        1.340,       20.690,       -0.200,        2.570,        3.960,        6.310,        4.860,        4.950,        6.460,             ,        6.770,       10.160,        0.550,        0.930,       25.540,             ,        1.070,       45.890,             ,             ,             ,             ,             
         1925,        1.400,       20.640,        3.830,        3.510,        3.810,        5.710,        3.490,        4.850,        6.150,             ,        6.160,       12.460,        0.600,        1.250,       29.080,             ,        1.350,       38.940,             ,             ,             ,             ,             
         1926,        1.370,       20.630,       -1.510,        3.070,        3.560,        7.770,        5.320,        4.680,        5.680,        7.370,        6.940,       13.490,        0.690,        1.240,       12.210,        6.610,        1.650,       44.150,        4.640,             ,             ,             ,             
         1927,        1.350,       20.640,       -2.120,        3.170,        3.150,        8.940,        5.160,        4.460,        5.320,        7.440,        7.440,       17.660,        0.770,        1.110,       35.830,       29.410,        0.940,       37.470,        7.400,       26.550,             ,             ,             
         1928,        1.330,       20.660,       -0.980,        4.260,        3.440,        0.080,        4.380,        4.610,        5.600,        2.840,        2.600,       24.350,        0.850,        1.380,       38.960,       33.430,        1.980,       25.970,        4.260,       49.740,             ,             ,             
         1929,        1.340,       20.630,        0.180,        3.030,        3.350,        3.410,        8.600,        4.670,        5.950,        3.270,        3.870,       21.450,        0.970,        1.610,       -8.530,      -11.860,       12.290,       33.850,       16.560,       72.060,             ,             ,             
         1930,        1.250,       20.650,       -6.070,        1.480,        3.200,        4.640,        4.830,        4.520,        6.710,        7.980,        6.540,       15.340,        0.980,        0.970,      -26.330,      -29.620,        6.590,       55.470,       13.150,       30.780,             ,             ,             
         1931,        1.130,       17.060,       -9.570,        2.410,        3.940,       -5.320,        2.230,        5.320,       10.420,       -1.850,       -4.780,        8.120,        0.820,        0.610,      -45.540,      -48.930,       15.980,      117.070,       -1.100,       14.470,             ,             ,             
         1932,        1.020,       20.690,      -10.360,        0.040,        3.340,       16.850,        2.700,        4.590,        8.420,       10.820,       14.380,        6.890,        0.500,        0.410,       -8.870,      -14.800,       30.950,      144.210,       -0.400,        3.730,             ,             ,             
         1933,        1.020,       26.330,        0.430,        0.290,        3.520,       -0.070,        1.000,        4.500,        7.750,       10.380,        5.720,       10.100,        0.440,        0.440,       53.540,       47.550,       22.450,       82.900,        0.740,       40.110,             ,             ,             
         1934,        1.040,       34.690,        2.010,        0.230,        2.980,       10.010,        0.940,        3.810,        6.230,       13.840,       13.690,        9.500,        0.450,        0.490,       -2.570,       -6.260,        6.680,       77.370,        2.200,        7.130,             ,             ,             
         1935,        1.070,       34.840,        2.960,        0.150,        2.800,        5.000,        1.000,        3.440,        5.300,        9.610,        8.910,       13.430,        0.470,        0.760,       45.730,       40.080,        3.560,       55.990,        0.970,        6.620,             ,             ,             
         1936,        1.090,       34.870,        1.200,        0.120,        2.540,        7.500,        0.750,        3.100,        4.530,        6.740,        8.280,       17.180,        0.720,        1.020,       33.620,       28.150,        3.150,       45.860,        2.430,       12.060,             ,             ,             
         1937,        1.120,       34.790,        3.090,        0.110,        2.690,        0.230,        1.000,        3.210,        5.730,        2.750,        1.550,       10.550,        0.800,        1.130,      -36.020,      -39.440,        9.980,       70.750,        2.710,       31.240,        0.280,             ,             
         1938,        1.090,       34.850,       -2.800,        0.030,        2.510,        5.510,        1.000,        3.080,        5.270,        6.130,        5.060,       13.210,        0.510,        0.640,       29.310,       24.270,       11.220,       57.200,        0.540,        4.490,        0.420,             ,             
         1939,        1.080,       34.420,       -0.500,        0.040,        2.290,        5.950,        1.000,        2.940,        4.920,        3.970,        5.100,       12.490,        0.620,        0.900,       -1.070,       -5.630,        6.660,       58.070,        0.340,        8.550,        0.610,             ,             
         1940,        1.090,       33.850,        0.950,        0.020,        1.940,        6.090,        1.000,        2.710,        4.450,        3.390,        6.340,       10.580,        0.670,        1.050,       -9.750,      -15.140,        4.810,       72.900,        2.860,       11.870,        0.430,             ,             
         1941,        1.200,       33.850,        9.650,        0.330,        2.420,        0.930,        1.000,        2.800,        4.380,        2.730,        1.390,        8.690,        0.710,        1.160,      -11.730,      -17.960,        2.240,       88.950,       -0.430,       11.420,        0.340,             ,             
         1942,        1.310,       33.850,        9.240,        0.380,        2.440,        3.220,        1.000,        2.810,        4.280,        2.600,        2.650,        9.770,        0.590,        1.030,       20.890,       12.930,        1.800,       86.260,        0.230,       12.380,        0.510,             ,             
         1943,        1.350,       33.850,        3.130,        0.380,        2.440,        2.090,        1.000,        2.740,        3.820,        2.830,        3.840,       11.670,        0.610,        0.940,       26.640,       20.310,        1.590,       78.740,        1.540,       16.430,        0.200,             ,             
         1944,        1.380,       33.850,        2.100,        0.380,        2.430,        2.820,        1.000,        2.700,        3.490,        4.730,        3.330,       13.280,        0.640,        0.930,       21.150,       15.110,        0.840,       74.380,        1.660,       16.450,        0.350,             ,             
         1945,        1.410,       34.710,        2.240,        0.380,        2.270,       10.730,        1.000,        2.610,        3.100,        4.080,        4.040,       17.360,        0.660,        0.960,       36.710,       31.010,        1.590,       61.320,        2.450,       21.170,        0.430,       -4.090,             
         1946,        1.660,       34.710,       17.870,        0.380,        2.170,       -0.080,        1.000,        2.610,        3.170,        1.720,        2.610,       15.300,        0.710,        1.060,       -9.290,      -12.850,        4.580,       69.240,        3.780,       31.850,        0.180,        5.800,             
         1947,        1.810,       34.710,        8.990,        0.950,        2.330,       -2.630,        1.380,        2.860,        3.520,       -2.340,       -1.030,       15.300,        0.840,        1.610,        4.910,       -0.650,        1.930,       72.530,        2.810,       23.960,        0.480,        7.410,        3.430
         1948,        1.860,       34.710,        2.730,        1.160,        2.380,        3.390,        1.380,        2.790,        3.530,        4.140,        3.890,       15.200,        0.930,        2.290,        5.260,       -0.840,        2.210,       84.090,        1.510,       15.710,        0.160,        5.650,        3.480
         1949,        1.830,       31.690,       -1.830,        1.100,        2.120,        6.440,        1.630,        2.580,        3.310,        3.310,        5.930,       16.760,        1.140,        2.320,       18.060,        9.770,        1.230,       79.640,        2.720,       19.190,        0.430,        4.980,        2.890
         1950,        1.930,       34.720,        5.800,        1.340,        2.330,        0.050,        1.630,        2.670,        3.200,        2.120,        1.240,       20.410,        1.470,        2.840,       32.950,       23.030,        2.150,       72.250,        3.140,       22.700,        0.570,        0.470,        3.440
         1951,        2.050,       34.720,        5.960,        1.730,        2.660,       -3.940,        1.630,        3.010,        3.610,       -2.690,       -2.210,       23.770,        1.410,        2.440,       23.420,       16.020,        1.220,       72.130,        3.610,       26.480,        0.410,        0.610,        3.250
         1952,        2.060,       34.600,        0.910,        2.090,        2.710,        1.170,        2.380,        2.970,        3.510,        3.520,        3.590,       26.570,        1.410,        2.400,       18.940,       12.280,        0.660,       69.410,        2.650,       20.250,        0.340,        0.510,        3.180
         1953,        2.080,       34.840,        0.600,        1.600,        2.590,        3.630,        2.630,        3.130,        3.740,        3.410,        0.700,       24.810,        1.450,        2.510,       -1.710,       -7.300,        0.830,       75.970,        2.480,       20.400,        0.280,       -0.700,        3.310
         1954,        2.070,       35.040,       -0.370,        1.150,        2.510,        7.180,        3.250,        2.900,        3.450,        5.390,        6.470,       35.980,        1.540,        2.770,       52.650,       44.990,        0.840,       60.410,        2.670,       21.320,        0.280,        0.890,        3.160
         1955,        2.080,       35.030,        0.370,        2.540,        2.960,       -1.280,        3.000,        3.150,        3.620,        0.480,       -0.640,       45.480,        1.640,        3.620,       31.300,       25.790,        2.160,       50.980,        2.520,       27.540,        0.020,       -0.910,        3.580
         1956,        2.140,       34.990,        2.830,        3.210,        3.590,       -5.590,        3.630,        3.750,        4.370,       -6.810,       -4.890,       46.670,        1.740,        3.410,        6.430,        2.180,        1.390,       54.420,        2.620,       26.850,        0.100,       -1.640,        3.450
         1957,        2.200,       34.950,        3.040,        3.040,        3.210,        7.470,        4.500,        3.810,        5.030,        8.710,        2.950,       39.990,        1.790,        3.370,      -10.810,      -14.700,        1.750,       65.370,        3.470,       22.700,        0.070,       -0.920,        3.320
         1958,        2.240,       35.100,        1.760,        2.770,        3.860,       -6.110,        4.500,        4.080,        4.850,       -2.220,        0.300,       55.210,        1.750,        2.890,       43.740,       38.280,        0.850,       51.180,        2.370,       16.480,        0.160,        0.370,        2.950
         1959,        2.270,       35.100,        1.520,        4.490,        4.690,       -2.270,        3.750,        4.580,        5.280,       -0.970,       -2.130,       59.890,        1.830,        3.390,       12.400,        8.810,        0.840,       45.780,        2.290,       26.240,        0.100,        0.350,        3.150
         1960,        2.300,       35.270,        1.360,        2.250,        3.840,       13.790,        4.750,        4.350,        5.100,        9.070,        7.500,       58.110,        1.950,        3.270,        0.590,       -2.850,        1.010,       55.040,        2.270,       20.420,       -0.140,        0.940,        3.130
         1961,        2.320,       35.250,        0.670,        2.600,        4.060,        0.970,        4.500,        4.420,        5.100,        4.820,        3.470,       71.550,        2.020,        3.190,       27.110,       23.360,        0.650,       50.590,        2.230,       28.440,       -0.220,        0.490,        3.180
         1962,        2.350,       35.230,        1.230,        2.870,        3.860,        6.880,        4.500,        4.240,        4.920,        7.950,        6.730,       63.100,        2.130,        3.670,       -8.750,      -11.840,        2.850,       59.160,        1.990,       16.220,       -0.280,        0.430,        3.270
         1963,        2.390,       35.090,        1.650,        3.520,        4.130,        1.210,        4.500,        4.350,        4.850,        2.190,        2.850,       75.020,        2.280,        4.020,       22.690,       18.780,        0.740,       52.560,        0.900,       11.150,       -0.150,        0.370,        3.470
         1964,        2.420,       35.100,        1.200,        3.840,        4.180,        3.510,        4.500,        4.440,        4.810,        4.770,        3.220,       84.750,        2.500,        4.550,       16.680,       13.190,        0.280,       48.720,        2.310,       22.150,       -0.240,       -0.750,        3.690
         1965,        2.460,       35.120,        1.920,        4.380,        4.620,        0.700,        4.500,        4.680,        5.020,       -0.460,        1.490,       92.430,        2.720,        5.190,       12.610,        9.220,        0.460,       43.060,        2.080,       14.210,       -0.080,       -1.320,        4.180
         1966,        2.540,       35.130,        3.360,        4.960,        4.840,        3.650,        4.970,        5.390,        6.180,        0.200,       -3.530,       80.330,        2.870,        5.550,      -10.200,      -13.210,        1.390,       57.690,        1.720,       13.900,        0.000,       -1.220,        4.180
         1967,        2.630,       34.950,        3.280,        4.970,        5.700,       -9.180,        6.250,        6.190,        6.930,       -4.950,       -3.250,       96.470,        2.920,        5.330,       23.960,       20.100,        0.700,       52.580,        1.440,       11.470,        0.300,       -3.030,        3.900
         1968,        2.750,       38.690,        4.710,        5.960,        6.030,       -0.260,        6.000,        6.450,        7.230,        2.570,        3.440,      103.860,        3.070,        5.760,       10.830,        7.430,        0.740,       50.490,        3.200,       20.860,        0.230,       -3.780,        3.900
         1969,        2.910,       41.090,        5.900,        7.820,        7.650,       -5.070,        6.500,        7.720,        8.650,       -8.090,       -5.650,       92.060,        3.160,        5.780,       -8.320,      -11.310,        1.000,       65.110,        3.430,       31.400,        0.080,       -2.640,        3.910
         1970,        3.080,       35.940,        5.570,        4.870,        6.390,       12.100,        8.500,        7.640,        9.120,       18.370,        8.490,       92.150,        3.140,        5.130,        3.990,        0.160,        2.300,       64.640,        3.150,       22.290,        0.150,       -3.060,        3.550
         1971,        3.180,       40.800,        3.270,        4.010,        5.930,       13.240,             ,        7.250,        8.380,       11.010,       11.500,      102.090,        3.070,        5.700,       14.450,       10.910,        1.050,       64.390,        3.400,       28.740,        0.230,       -4.640,        3.580
         1972,        3.290,       58.160,        3.410,        5.070,        6.360,        5.680,             ,        7.080,        7.930,        7.260,        8.950,      118.050,        3.150,        6.420,       19.120,       15.760,        0.640,       59.570,        3.420,       31.130,        0.030,       -4.830,        3.840
         1973,        3.580,       97.320,        8.940,        7.450,        6.740,       -1.110,             ,        7.680,        8.480,        1.140,        1.350,       97.550,        3.380,        8.160,      -14.800,      -17.490,        2.510,       75.560,        1.300,       33.310,       -0.060,       -4.850,        4.040
         1974,        4.010,      159.260,       12.100,        7.150,        7.430,        4.340,             ,        8.890,       10.630,       -3.060,       -2.850,       68.560,        3.600,        8.890,      -26.430,      -29.660,        4.800,      112.000,        0.880,       16.310,       -0.080,       -2.570,        3.650
         1975,        4.300,      161.020,        7.130,        5.440,        8.000,        9.190,             ,        8.790,       10.560,       14.640,        9.770,       90.190,        3.680,        7.960,       36.960,       31.370,        2.430,       87.630,        2.370,       20.260,       -0.050,       -2.610,        3.280
         1976,        4.510,      124.840,        5.040,        4.350,        6.870,       16.760,             ,        7.980,        9.120,       18.650,       16.350,      107.460,        4.050,        9.910,       23.920,       19.120,        1.250,       78.000,        2.860,       20.790,       -0.110,       -1.860,        3.410
         1977,        4.820,      147.710,        6.680,        6.070,        7.690,       -0.700,             ,        8.190,        8.990,        1.710,        6.050,       95.100,        4.670,       10.890,       -7.430,      -11.690,        0.830,       96.030,        3.050,       21.890,       -0.180,       -1.230,        3.700
         1978,        5.250,      193.220,        8.990,        9.080,        9.010,       -1.170,             ,        9.160,        9.940,       -0.070,       -0.080,       96.110,        5.070,       12.330,        6.410,        0.940,        1.580,      104.570,        1.490,       21.940,       -0.150,       -1.100,        4.100
         1979,        5.940,      306.680,       13.250,       12.040,       10.390,       -1.250,             ,       10.740,       12.060,       -4.200,       -2.850,      107.940,        5.650,       14.860,       18.590,       12.280,        1.180,      106.200,        1.050,       22.010,       -0.040,       -0.710,        4.060
         1980,        6.680,      612.560,       12.350,       15.490,       12.840,       -3.950,             ,       13.210,       15.140,       -2.760,       -5.160,      135.760,        6.160,       14.820,       32.590,       25.980,        2.730,       89.150,        2.680,       27.800,        0.100,       -0.600,        3.790
         1981,        7.270,      460.030,        8.910,       10.850,       13.720,        1.860,             ,       14.230,       16.550,       -1.240,        7.050,      122.550,        6.630,       15.360,       -4.860,       -9.650,        1.810,      106.110,        1.190,       36.220,       -0.130,        0.290,        3.910
         1982,        7.550,      375.670,        3.830,        7.940,       10.540,       40.350,             ,       11.830,       14.140,       42.560,       31.150,      140.640,        6.870,       12.640,       22.140,       15.390,        3.340,       93.220,        0.300,       36.480,       -0.130,        0.690,        3.320
         1983,        7.840,      424.350,        3.790,        9.000,       11.830,        0.650,             ,       12.570,       13.750,        6.260,        6.860,      164.930,        7.090,       14.030,       22.290,       17.020,        1.790,       70.040,        2.700,       43.000,       -0.170,        2.320,        3.560
         1984,        8.160,      360.480,        4.040,        8.060,       11.500,       15.490,             ,       12.130,       13.400,       16.860,       15.610,      167.240,        7.530,       16.640,        6.690,        1.840,        1.630,       73.310,       -2.720,       17.070,       -0.110,        1.420,        3.890
         1985,        8.460,      317.260,        3.790,        7.100,        9.260,       30.970,             ,       10.160,       11.580,       30.090,       27.740,      211.280,        7.900,       14.610,       31.980,       26.620,        1.050,       59.270,       -1.950,       17.650,       -0.170,        2.380,        3.790
         1986,        8.560,      367.660,        1.190,        5.530,        7.110,       24.520,             ,        8.490,        9.970,       19.850,       25.140,      242.170,        8.280,       14.480,       18.070,       13.870,        2.170,       49.840,       -1.140,       16.470,       -0.220,        1.110,        3.470
         1987,        8.940,      446.460,        4.330,        5.770,        8.990,       -2.720,             ,       10.110,       11.290,       -0.270,       -4.390,      247.080,        8.810,       17.500,        5.160,        1.640,       10.330,       50.880,        1.330,       15.040,       -0.270,        2.200,        3.430
         1988,        9.330,      436.940,        4.410,        8.070,        9.110,        9.670,             ,        9.570,       10.650,       10.700,       14.580,      277.720,        9.730,       23.750,       16.960,       12.060,        2.930,       46.530,       -2.150,       11.460,       -0.230,        2.170,        3.460
         1989,        9.760,      381.440,        4.640,        7.630,        7.840,       18.100,             ,        8.860,        9.820,       16.230,       15.760,      353.400,       11.050,       22.870,       31.370,       26.750,        1.720,       39.050,       -1.230,        9.780,       -0.290,        2.730,        3.480
         1990,       10.370,      383.510,        6.250,        6.740,        8.080,        6.170,             ,        9.050,       10.430,        6.780,        7.230,      330.220,       12.090,       21.340,       -3.190,       -6.620,        2.550,       48.450,       -0.180,        7.830,       -0.230,        3.390,        3.290
         1991,       10.680,      362.110,        2.980,        4.070,        7.090,       19.260,             ,        8.310,        9.260,       19.890,       15.780,      417.090,       12.200,       15.970,       30.670,       26.600,        2.070,       42.030,        3.160,       15.280,       -0.130,        2.700,        3.050
         1992,           11,      343.820,        2.970,        3.220,        6.770,        8.050,             ,        7.980,        8.810,        9.390,       11.390,      435.710,       12.380,       19.090,        7.720,        4.590,        0.940,       39.410,        3.870,       15.020,       -0.110,        1.810,        3.240
         1993,       11.310,      359.770,        2.810,        3.060,        5.770,       18.230,             ,        6.930,        7.690,       13.190,       18.640,      466.450,       12.580,       21.890,        9.890,        6.860,        0.740,       30.530,        4.570,       14.410,       -0.100,        2.900,        3.420
         1994,       11.600,          384,        2.600,        5.600,        7.810,       -7.780,             ,        8.460,        9.100,       -5.760,       -6.830,      459.270,       13.180,       30.600,        1.360,       -1.490,        0.970,       29.160,        1.660,       12.040,       -0.060,        3.960,        3.610
         1995,       11.900,      384.170,        2.530,        5.140,        5.710,       31.660,             ,        6.820,        7.490,       27.200,       25.260,      615.930,       13.790,       33.960,       37.660,       34.260,        0.640,       25.500,        1.560,       12.120,       -0.010,        3.560,        3.710
         1996,       12.300,      387.770,        3.380,        4.910,        6.300,       -0.920,             ,        7.200,        7.890,        1.400,        3.050,      740.740,       14.900,       38.730,       23.220,       20.540,        1.410,       20.730,        2.410,       19.870,       -0.040,        3.870,        3.940
         1997,       12.510,      330.980,        1.700,        5.160,        5.810,       15.870,             ,        6.760,        7.320,       12.950,       11.730,      970.430,       15.490,       39.720,       33.610,       31.270,        3.320,       17.880,        1.560,       14.270,       -0.090,        2.900,        4.130
         1998,       12.710,      294.240,        1.610,        4.390,        4.650,       13.070,             ,        6.220,        7.230,       10.760,       12.570,     1229.230,       16.200,       37.710,       29.300,       27.390,        4.130,       17.360,        2.010,       12.070,       -0.100,        1.240,        4.280
         1999,       13.050,      278.980,        2.680,        5.200,        6.280,       -8.990,             ,        7.550,        8.190,       -7.450,       -6.620,     1469.250,       16.690,       48.170,       21.350,       19.790,        3.270,       14.720,        1.800,       13.850,        0.010,        0.500,        4.290
         2000,       13.500,      279.110,        3.440,        5.770,        5.240,       21.490,             ,        7.210,        8.020,       12.850,       10.920,     1320.280,       16.270,           50,       -8.350,       -9.390,        4.920,       15.190,       -0.640,       14.100,       -0.050,        1.100,        4.320
         2001,       13.710,      271.040,        1.600,        1.690,        5.090,        3.700,             ,        6.770,        8.050,       10.640,       11.740,     1148.080,       15.740,       24.690,      -11.900,      -13.060,        4.560,       13.120,        1.600,        8.650,       -0.130,        0.960,        3.760
         2002,       14.050,      309.730,        2.480,        1.190,        4.030,       17.840,             ,        6.210,        7.450,       16.640,       12.810,      879.820,       16.077,       27.590,      -21.780,      -23.060,        6.770,       29.540,        2.630,        8.200,       -0.410,        0.040,        3.420
         2003,       14.340,      363.380,        2.040,        0.900,        4.270,        0.900,             ,        5.620,        6.600,        5.270,       12.900,     1111.920,       17.385,       48.740,       28.700,       26.400,        2.930,       21.870,        0.690,        7.240,             ,       -1.300,        3.500
         2004,       14.820,      409.720,        3.340,        2.190,        4.230,        8.500,             ,        5.470,        6.150,        8.720,        7.340,     1211.920,       19.440,       58.550,       10.980,        8.750,        1.230,       27.060,        1.290,        7.830,             ,       -2.520,        3.570
         2005,       15.310,      444.740,        3.340,        3.890,        4.470,        7.810,             ,        5.370,        6.320,        5.870,        6.630,     1248.290,       22.220,       69.930,        5.220,        3.300,        1.050,       31.350,        0.300,        5.110,             ,       -1.700,        3.590
         2006,       15.700,      603.460,        2.520,        4.850,        4.560,        1.180,             ,        5.320,        6.220,        3.240,        5.950,     1418.300,       24.881,       81.510,       15.670,       13.500,        1.010,       28.170,       -1.540,        4.910,             ,       -1.840,        3.660
         2007,       16.340,      695.390,        4.110,        3.000,        4.100,        9.890,             ,        5.490,        6.650,        2.590,        3.370,     1468.360,       27.731,       66.180,        5.750,        3.750,        2.540,       25.060,       -4.180,        7.770,             ,       -1.740,        3.740
         2008,       16.340,      871.960,       -0.020,        0.030,        2.420,       25.860,             ,        5.050,        8.430,        8.790,       10.730,      903.250,       28.387,       14.880,      -36.460,      -37.960,       16.850,       35.500,       -2.440,       21.740,             ,        0.200,        3.260
         2009,       16.800,      972.350,        2.810,        0.050,        3.590,      -14.900,             ,        5.260,        6.370,        3.000,        2.590,     1115.100,       22.407,       50.970,       26.480,       23.290,        7.440,       32.550,        1.060,       19.710,             ,       -2.930,        2.800
         2010,       17.040,     1224.530,        1.420,        0.140,        3.290,       10.140,             ,        5.020,        6.100,       12.440,        8.130,     1257.640,       22.730,       77.350,       15.150,       12.700,        3.250,       35.810,        1.260,       12.970,             ,       -3.650,        2.990
         2011,       17.550,     1571.520,        3.020,        0.010,        1.980,       27.100,             ,        3.930,        5.250,       17.940,       19.380,     1257.600,       26.425,       86.950,        1.820,       -0.280,        5.400,       35.720,       -0.650,       12.820,             ,       -2.460,        3.190
         2012,       17.860,     1668.980,        1.760,        0.070,        1.720,        3.440,             ,        3.650,        4.630,       10.670,        7.720,     1426.190,       31.247,       86.510,       16.040,       13.370,        1.620,       34.900,       -1.230,       11.650,             ,       -3.210,        3.260
         2013,       18.130,     1411.230,        1.510,        0.070,        2.900,      -12.790,             ,        4.620,        5.380,       -7.080,       -8.350,     1848.360,       34.990,      100.200,       32.490,       29.690,        1.250,       30.440,        1.220,       12.870,             ,       -3.340,        3.290
         2014,       18.250,     1286.400,        0.690,        0.030,        2.100,       24.740,             ,        3.790,        4.740,       17.270,       15.700,     2058.900,       39.440,      102.310,       13.540,       11.230,        1.290,       32.380,        0.560,       10.930,             ,       -3.720,        3.360
         2015,       18.380,     1160.600,        0.730,        0.230,        2.430,       -0.640,             ,        3.970,        5.460,       -1.010,        1.430,     2043.940,       43.390,       86.530,        1.460,       -0.710,        2.390,       31.360,       -2.161,       10.330,             ,       -4.470,        3.300
         2016,       18.885,     1250.740,        2.075,        0.510,        2.720,        1.761,             ,        4.060,        4.830,        6.701,             ,     2238.830,       45.701,       94.550,       11.793,        9.330,        1.712,       29.350,       -2.481,        8.954,             ,       -5.640,        3.181
         2017,       19.283,       1257.12,        2.109,         1.32,         2.54,         6.23,              ,        3.51,         4.22,       12.244,             ,     2673.61,        48.932,      109.880,       21.989,       19.531,        0.454,       23.539,       -1.995,        7.746,             ,       -3.163,        3.314
